"","SiteID","Group","Species","Row","Column","germination.spring","germination.fall.new","germ.any","survival.spring","survival.fall","surv.any","tray.damage.spring","tray.damage.fall","damage.any","nodamage.any","dead.germinant.fall","canopy.cover.mean","elevation.m","TPI.30","TPI.gen","Slope","TRI.30","TRI.gen","aspect","aspect.gen","site.type"
"127","CR01","E","pico","B",7,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"128","CR01","E","pico","B",8,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"129","CR01","E","pico","B",9,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"130","CR01","E","pico","B",10,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"131","CR01","E","psme","B",1,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"132","CR01","E","psme","B",2,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"133","CR01","E","psme","B",3,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"134","CR01","E","psme","B",4,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"135","CR01","E","psme","B",5,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
"136","CR01","E","psme","B",6,0,0,0,0,0,0,0,0,0,1,0,21.22,2437.812423,6.496385668,"convex",20.37066764,11.10871538,"high",323.7876155,"NW","convex.rugged"
